Cascada,Rio,Pueblo
61,104,36.4
24.5,56.5,18
34,23,90.8
170,49,16.8
86,15,75.5
55,71,35.9
101.2,72,22.2
108.7,126,43.5
76.5,12,23.9
44,15,99.3
18,60,43
81.1,4,48
20,61,12.2
66,142,51.4
94,192,30
41,14,8.3
102.5,55,8.9
119.5,81,11.8
262,37,18.1
90.5,116,53.5
47,94,65.7
65.5,123,68.4
125,113,8.4
52.5,102,56.1
39.2,105,43.5
460.5,112,24.5
260,67,51.5
104,177,42
31.5,40,135.3
91.7,73,57.9
19,36,34.4
31,80,69.8
23,130,26.5
100.3,16,43.3
162,112,39.8
7.5,23,33.7
22.5,13,79.5
77,68,45
91,33,105.2
37.5,147,136
140.7,119.95,51.5
140,46,54.8
124,40,31.5
15,24,10.9
81,36,11
56.5,126,15.7
32,23,18
111,30.5,13.8
46,37,23.5
66.5,48,30
44,,
35.5,,
129,,
34.2,,
26.5,,
34.5,,
49,,
7,,
50.3,,
170,,
68,,
26,,
51,,
9.5,,
7,,
44.1,,
52.5,,
26.5,,
26.5,,
50,,
15,,
32,,
21,,
105,,
74,,
89,,
28,,
59.5,,
41.7,,
93,,
48,,
12,,
72,,
43,,
