Survey,Survey Cycle,Vessel,Cruise Leg,Trawl Id,Trawl Performance,Trawl Date,Trawl Start Time,Best Latitude (dd),Best Longitude (dd),Best Position Type,Best Depth (m),Best Depth Type,Trawl Duration (min),Area Swept by the Net (hectares),Temperature At the Gear (degs C)
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003001,Fisheries Assessment Acceptable,8/31/03,8/31/03 18:12,46.30424583,-124.7250958,Vessel Track Midpoint,527.5,Bottom Depth,17.68,1.654034,5.17
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003002,Fisheries Assessment Acceptable,9/1/03,9/1/03 6:01,46.73216629,-124.9303665,Gear Track Midpoint,673.7,Bottom Depth,18.82,2.29229,4.54
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003003,Fisheries Assessment Acceptable,9/1/03,9/1/03 8:45,46.71926308,-124.8186417,Gear Track Midpoint,276.2,Bottom Depth,16.68,1.775408,6.89
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003004,Fisheries Assessment Acceptable,9/1/03,9/1/03 12:58,46.92418671,-125.0964546,Gear Track Midpoint,823.7,Bottom Depth,25.18,2.69878,4.14
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003005,Fisheries Assessment Acceptable,9/1/03,9/1/03 15:45,47.0143875,-124.9829917,Vessel Track Midpoint,172.7,Bottom Depth,19.97,1.9638,7.12
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003006,Fisheries Assessment Acceptable,9/2/03,9/2/03 5:46,47.5638485,-125.4361725,Gear Track Midpoint,985.7,Bottom Depth,22.62,2.402253,3.57
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003008,Fisheries Assessment Acceptable,9/2/03,9/2/03 11:58,47.54006577,-125.1821365,Gear Track Midpoint,556.8,Bottom Depth,15.97,1.78828,4.99
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003009,Fisheries Assessment Acceptable,9/2/03,9/2/03 14:04,47.57679176,-125.0623703,Gear Track Midpoint,267.4,Bottom Depth,19.95,2.245104,6.47
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003010,Fisheries Assessment Acceptable,9/2/03,9/2/03 18:19,47.6406875,-124.9429958,Vessel Track Midpoint,137.4,Bottom Depth,18.73,2.068892,7.16
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003011,Fisheries Assessment Acceptable,9/3/03,9/3/03 5:12,47.72878333,-124.8536,Vessel Track Midpoint,98.8,Bottom Depth,17.13,1.868578,7.08
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003012,Fisheries Assessment Acceptable,9/3/03,9/3/03 7:58,47.84123333,-125.0133333,Vessel Track Midpoint,124,Bottom Depth,18.18,2.100064,7.09
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003013,Fisheries Assessment Acceptable,9/3/03,9/3/03 11:33,47.83895417,-125.1056958,Vessel Track Midpoint,174.2,Bottom Depth,17.83,2.155768,6.89
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003014,Fisheries Assessment Acceptable,9/3/03,9/3/03 16:45,47.71406174,-125.2278214,Gear Track Midpoint,839.8,Bottom Depth,22.48,2.642948,4.07
Groundfish Slope and Shelf Combination Survey,Cycle 2003,Blue Horizon,1,200303003015,Fisheries Assessment Acceptable,9/3/03,9/3/03 19:19,47.65962029,-125.1565971,Gear Track Midpoint,595.2,Bottom Depth,18.88,2.322712,4.97
